,artist_name,artist_id,track_name,track_id,track_popularity,user,area
0,Serú Girán,6CrQKZeuSKNYgrE7PeYqJ1,Cinema Verité,6Pc5YpUReYYToXJ23TmkLS,45,chacho Toydurmiendo,Data Analitycs
1,Ice Cube,3Mcii5XWf6E0lrY3Uky4cA,Ain't Got No Haters (feat. Too Short),3C2BKKKa7xrz2uWqIN1Mnh,62,chacho Toydurmiendo,Data Analitycs
2,Dillom,4cJD9t5QBFTUQcd3xfbOb2,PELOTUDA,65zh1W9YBpgGlS4G98mI0v,57,chacho Toydurmiendo,Data Analitycs
3,Ice Cube,3Mcii5XWf6E0lrY3Uky4cA,Until We Rich,6l3b8BOBDRDM1ne9fpOygz,55,chacho Toydurmiendo,Data Analitycs
4,Serú Girán,6CrQKZeuSKNYgrE7PeYqJ1,Eiti-Leda (Remasterizado 2021),6kbpMfsWlfpB2zFTDUH92f,44,chacho Toydurmiendo,Data Analitycs
5,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Hello - Remastered,2LmwUKeGCJZUKHKwOrX3Xb,41,chacho Toydurmiendo,Data Analitycs
6,Serú Girán,6CrQKZeuSKNYgrE7PeYqJ1,Seminare (Remasterizado 2021),61zbxB39zUY5oxBvEvvMYv,58,chacho Toydurmiendo,Data Analitycs
7,Bizarrap,716NhGYqD1jl2wI1Qkgq36,"Dillom: Bzrp Music Sessions, Vol. 9",6Vwfjz5LsHKTYY5IzhKW2A,61,chacho Toydurmiendo,Data Analitycs
8,Dillom,4cJD9t5QBFTUQcd3xfbOb2,LA PRIMERA,4YKP5UKFofcfW7EMjIsVvG,61,chacho Toydurmiendo,Data Analitycs
9,Oasis,2DaxqgrOhkeH0fpeiQq2f4,"Some Might Say - Live at Knebworth, 11 August '96",7lx3aYyDWBaOujNhm7XhGM,34,chacho Toydurmiendo,Data Analitycs
10,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Don't Look Back in Anger - Remastered,0UvCh63URrLFcPkKt99hHd,70,chacho Toydurmiendo,Data Analitycs
11,Sui Generis,5lCqW8vcd4TyTHzGIuKdH8,"Quizás, Porque",1qa1RJbrfCOZ8ptY73DzS1,48,chacho Toydurmiendo,Data Analitycs
12,Serú Girán,6CrQKZeuSKNYgrE7PeYqJ1,Canción De Alicia En El País - Remastered 2012,519WGo9DQCtYP72a7Lmprj,43,chacho Toydurmiendo,Data Analitycs
13,Ice Cube,3Mcii5XWf6E0lrY3Uky4cA,Why We Thugs,5880eYQmXx3c3oD22IljIt,64,chacho Toydurmiendo,Data Analitycs
14,Oasis,2DaxqgrOhkeH0fpeiQq2f4,"Roll with It - Live at Knebworth, 11 August '96",4EZg3XIoQLLMeO8gK5rDzi,32,chacho Toydurmiendo,Data Analitycs
15,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Stand by Me,7aSSsHnGQ54rbMZpXApmtU,57,chacho Toydurmiendo,Data Analitycs
16,Oasis,2DaxqgrOhkeH0fpeiQq2f4,She's Electric - Remastered,02ePjHjIiszSYqeLykvpTN,51,chacho Toydurmiendo,Data Analitycs
17,Oasis,2DaxqgrOhkeH0fpeiQq2f4,"The Masterplan - Live at Knebworth, 10 August '96",1BaoPBo6zT6sOAc0pHIIj1,30,chacho Toydurmiendo,Data Analitycs
18,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Champagne Supernova - Remastered,1wo3UYTeizJHkwYIuLuBPF,62,chacho Toydurmiendo,Data Analitycs
19,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Cum On Feel The Noize - Remastered,21I2d2zrIHJNPeaeGG5J3Y,33,chacho Toydurmiendo,Data Analitycs
20,Oasis,2DaxqgrOhkeH0fpeiQq2f4,"Hello - Live at Knebworth, 11 August '96",37qTDOp7dvIYp6MBbABofC,33,chacho Toydurmiendo,Data Analitycs
21,Dillom,4cJD9t5QBFTUQcd3xfbOb2,ROCKETPOWERS,3z8rcgJdQo2g2G4VijeLpl,58,chacho Toydurmiendo,Data Analitycs
22,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Wonderwall - Remastered,5qqabIl2vWzo9ApSC317sa,75,chacho Toydurmiendo,Data Analitycs
23,Oasis,2DaxqgrOhkeH0fpeiQq2f4,The Masterplan - Remastered,6Lcnoknad0SItzXiXUB1FF,42,chacho Toydurmiendo,Data Analitycs
24,Serú Girán,6CrQKZeuSKNYgrE7PeYqJ1,Parado En El Medio De La Vida,72bSY7XfA75eY33CMdUWUS,44,chacho Toydurmiendo,Data Analitycs
25,Serú Girán,6CrQKZeuSKNYgrE7PeYqJ1,Llorando En El Espejo,7wQLTfbEvHTuwuOgQ9Oomt,12,chacho Toydurmiendo,Data Analitycs
26,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Songbird,7yDh4GJAoiAJJg2lPaSt4X,51,chacho Toydurmiendo,Data Analitycs
27,Ice Cube,3Mcii5XWf6E0lrY3Uky4cA,Hello,60uesDF4UyLUs61FgiDkdp,61,chacho Toydurmiendo,Data Analitycs
28,Oasis,2DaxqgrOhkeH0fpeiQq2f4,It's Better People - Remastered,2x4bx10t6R3ND7gQF2gOSy,30,chacho Toydurmiendo,Data Analitycs
29,Oasis,2DaxqgrOhkeH0fpeiQq2f4,"Live Forever - Live at Knebworth, 10 August '96",6wIbilcEpwjuDE8n9JMhSl,31,chacho Toydurmiendo,Data Analitycs
30,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Hey Now - Remastered,0zc2UcrURBMVTyV7J0wrAP,40,chacho Toydurmiendo,Data Analitycs
31,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Live Forever,1KgfeuVn5OlsBEtoEmBa1t,55,chacho Toydurmiendo,Data Analitycs
32,Oasis,2DaxqgrOhkeH0fpeiQq2f4,"Morning Glory - Live at Knebworth, 11 August '96",3b4GmwgSyVVClc48cUFhOp,33,chacho Toydurmiendo,Data Analitycs
33,Oasis,2DaxqgrOhkeH0fpeiQq2f4,"Cast No Shadow - Live at Knebworth, 10 August '96",4xLfzJywChjbzSk8kXUTuG,30,chacho Toydurmiendo,Data Analitycs
34,Oasis,2DaxqgrOhkeH0fpeiQq2f4,"My Big Mouth - Live at Knebworth, 10 August '96",6CMBAYqqVtquT42D8MaBVH,36,chacho Toydurmiendo,Data Analitycs
35,Oasis,2DaxqgrOhkeH0fpeiQq2f4,"Slide Away - Live at Knebworth, 11 August '96",7fUSME2N2Aiz7tH5Oog0Gj,34,chacho Toydurmiendo,Data Analitycs
36,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Roll with It - Remastered,05CNnC9ugYgnJgg6fIgyeQ,45,chacho Toydurmiendo,Data Analitycs
37,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Step Out - Remastered,0E8QuZqZjKe7agk7xUr0PC,32,chacho Toydurmiendo,Data Analitycs
38,Serú Girán,6CrQKZeuSKNYgrE7PeYqJ1,Cinema Verité,1DcRTgxscYvCBZaOGJ4MS8,11,chacho Toydurmiendo,Data Analitycs
39,Serú Girán,6CrQKZeuSKNYgrE7PeYqJ1,Nos Veremos Otra Vez,1FBdUVBQsG8suMoKaF3GOi,52,chacho Toydurmiendo,Data Analitycs
40,Oasis,2DaxqgrOhkeH0fpeiQq2f4,You've Got to Hide Your Love Away - Remastered,1V9Pf732OdBhGg2ATDbr0g,32,chacho Toydurmiendo,Data Analitycs
41,Oasis,2DaxqgrOhkeH0fpeiQq2f4,The Swamp Song - Remastered,1fegDwyryqzBNk7e0xyNiu,25,chacho Toydurmiendo,Data Analitycs
